Title,URL,Reporting guideline acronym,Study design,Clinical area,Language,Reporting guideline provided for?,Applies to the whole report or to individual sections of the report?,Full bibliographic reference,PubMed ID,DOI,Date of publication / Ahead of print date,Reporting guideline website URL,Relevant URLs(full-text if available),Explanation and elaboration papers,Availability in additional languages,Relevant more generic / specialised reporting guidelines,Previous versions of this guideline / Guideline history,Additional information,Other,Selected relevant editorials,"Other relevant research(i.e. research regarding the guideline's effectiveness usability, impact etc.)",Primary guideline publication,Taxonomy terms,Record last updated on,Downloadable files (name|url),Equator-hosted files count
The Test Adaptation Reporting Standards (TARES) : reporting test adaptations,https://www.equator-network.org/reporting-guidelines/the-test-adaptation-reporting-standards-tares-reporting-test-adaptations/,TARES,,Psychology,English,Reporting of test adaptations.,Whole report,"Iliescu D, Bartram D, Zeinoun P, Ziegler M, Elosua P, Sireci S, Geisinger KF, Odendaal A, Oliveri ME, Twing J, Camara W. The Test Adaptation Reporting Standards (TARES): reporting test adaptations. International Journal of Testing. 2024; 24(1):80-102.",,,,https://tares-statement.org/wp/,The full-text of the TARES reporting guideline is available from the TARES website. Access the TARES checklists.,,,,,,,,,,,"January 26, 2024",,0
Development of the Reporting Infographics and Visual Abstracts of Comparative studies (RIVA-C) checklist and guide,https://www.equator-network.org/reporting-guidelines/development-of-the-reporting-infographics-and-visual-abstracts-of-comparative-studies-riva-c-checklist-and-guide/,RIVA-C,"Clinical trials, Experimental studies, Observational studies, Systematic reviews/Meta-analyses/Reviews/HTA/Overviews",,English,Reporting of infographics which summarise comparative studies of health and medical interventions.,Abstract,"Zadro JR, Ferreira GE, Stahl-Timmins W, Egger V, Elkins MR, Gamble AR, O'Keeffe M, McCaffery KJ, Harris IA, Ardern CL, West CA, Maher CG, Hoffmann TC. Development of the Reporting Infographics and Visual Abstracts of Comparative studies (RIVA-C) checklist and guide. BMJ Evid Based Med. 2024:bmjebm-2023-112784.",38242568,,,,"The RIVA-C reporting checklist can be accessed from the journal website in supplementary file 6 (PDF), pages 117-120. The RIVA-C explanation and examples can be accessed from the journal website in supplementary file 1 (PDF), pages 1-36.",,,,,,,,,,,"January 24, 2024",supplementary file 6 (PDF)|https://ebm.bmj.com/content/ebmed/early/2024/01/19/bmjebm-2023-112784/DC1/embed/inline-supplementary-material-1.pdf?download=true ; supplementary file 1 (PDF)|https://ebm.bmj.com/content/ebmed/early/2024/01/19/bmjebm-2023-112784/DC1/embed/inline-supplementary-material-1.pdf?download=true,0
ENLIGHT : A consensus checklist for reporting laboratory-based studies on the non-visual effects of light in humans,https://www.equator-network.org/reporting-guidelines/enlight-a-consensus-checklist-for-reporting-laboratory-based-studies-on-the-non-visual-effects-of-light-in-humans/,ENLIGHT,,"Ophthalmology, Psychology",English,Reporting ocular light-based interventions in human studies.,"Intervention (exposure), Study characteristics (participants etc.)","Spitschan M, Kervezee L, Lok R, McGlashan E, Najjar RP; ENLIGHT Consortium. ENLIGHT: A consensus checklist for reporting laboratory-based studies on the non-visual effects of light in humans. EBioMedicine. 2023;98:104889.",38043137,,,https://enlight-statement.org/,The ENLIGHT Checklist is available in Table 2 of the main guideline paper and a fillable version of the ENLIGHT Checklist (PDF) is also available.,Read the ENLIGHT Explanation & Elaboration document (PDF).,,,,,,,,,,"December 14, 2023",ENLIGHT Checklist (PDF)|https://github.com/ENLIGHT-Project/ENLIGHT-Checklist/blob/06ee653046cffe833753028c2b4bc71cdb6a711b/1.0.2/ENLIGHT_Checklist_Release_1.0.2_20231016.pdf ; ENLIGHT Explanation & Elaboration document (PDF)|https://github.com/ENLIGHT-Project/ENLIGHT-Checklist/blob/06ee653046cffe833753028c2b4bc71cdb6a711b/1.0.2/ENLIGHT_E%26E_Release_1.0.2_20231016.pdf,0
REPCAN : Guideline for REporting Population-based CANcer Registry Data,https://www.equator-network.org/reporting-guidelines/repcan-guideline-for-reporting-population-based-cancer-registry-data/,REPCAN,Observational studies,Oncology,English,Reporting of population-based cancer registry studies.,Whole report,"Roshandel G, Badar F, Barchuk A, Roder DM, Sangrajrang S, Mery L, Nobuyuki H, Halimi A, Mathur P, Shrestha G, Mosavi Jarrahi A. REPCAN: Guideline for REporting Population-based CANcer Registry Data. Asian Pac J Cancer Prev. 2023;24(9):3297-3303.",37777857,,,,,,,,,,,,,,,"February 8, 2024",,0
ACCORD (ACcurate COnsensus Reporting Document): A reporting guideline for consensus methods in biomedicine developed via a modified Delphi,https://www.equator-network.org/reporting-guidelines/accord-accurate-consensus-reporting-document-a-reporting-guideline-for-consensus-methods-in-biomedicine/,ACCORD,"Clinical practice guidelines, Qualitative research",,English,Reporting consensus methods used in biomedical research. ACCORD checklist (Word),Whole report,"Gattrell WT, Logullo P, van Zuuren EJ, Price A, Hughes EL, Blazey P, Winchester CC, Tovey D, Goldman K, Hungin AP, Harrison N. ACCORD (ACcurate COnsensus Reporting Document): A reporting guideline for consensus methods in biomedicine developed via a modified Delphi. PLoS Med. 2024;21(1):e1004326.",38261576,,,https://www.ismpp.org/accord,Read the full-text of the ACCORD guideline.,"Logullo P, van Zuuren EJ, Winchester CC, Tovey D, Gattrell WT, Price A, Harrison N, Goldman K, Chisholm A, Walters K, Blazey P. ACcurate COnsensus Reporting Document (ACCORD) explanation and elaboration: Guidance and examples to support reporting consensus methods. PLoS Med. 2024;21(5):e1004390. PMID: 38709851",,,,Read the ACCORD study protocol. Read the systematic review that informed development of the ACCORD reporting guideline.,The ACCORD project was registered at the OSF platform and can be assessed on this page: https://osf.io/2rzm9,,,,,"June 10, 2024",ACCORD checklist (Word)|https://www.ismpp.org/assets/ACCORD/ACCORD%20checklist%20editable.docx,0
Reporting of Factorial Randomized Trials: Extension of the CONSORT 2010 Statement,https://www.equator-network.org/reporting-guidelines/reporting-of-factorial-randomized-trials-extension-of-the-consort-2010-statement/,CONSORT Factorial,"Clinical trials, Experimental studies",,English,Reporting of factorial randomised trials.,Whole report,"Kahan BC, Hall SS, Beller EM, Birchenall M, Chan AW, Elbourne D, Little P, Fletcher J, Golub RM, Goulao B, Hopewell S, Islam N, Zwarenstein M, Juszczak E, Montgomery AA. Reporting of Factorial Randomized Trials: Extension of the CONSORT 2010 Statement. JAMA. 2023;330(21):2106-2114.",38051324,,,,,"Kahan BC, Juszczak E, Beller E, Birchenall M, Chan AW, Hall S, Little P, Fletcher J, Golub RM, Goulao B, Hopewell S, Islam N, Zwarenstein M, Elbourne D, Montgomery A. Guidance for protocol content and reporting of factorial randomised trials: explanation and elaboration of the CONSORT 2010 and SPIRIT 2013 extensions. BMJ. 2025;388:e080785. PMID: 39904527",,"Generic CONSORT 2025 Statement: Hopewell S, Chan AW, Collins GS, Hróbjartsson A, Moher D, Schulz KF, Tunn R, Aggarwal R, Berkwits M, Berlin JA, Bhandari N, Butcher NJ, Campbell MK, Chidebe RCW, Elbourne D, Farmer A, Fergusson DA, Golub RM, Goodman SN, Hoffmann TC, Ioannidis JPA, Kahan BC, Knowles RL, Lamb SE, Lewis S, Loder E, Offringa M, Ravaud P, Richards DP, Rockhold FW, Schriger DL, Siegried NL, Staniszewska S, Taylor RS, Thabane L, Torgerson D, Vohra S, White IR, Boutron I. CONSORT 2025 statement: updated guideline for reporting randomised trials. BMJ. 2025; 388:e081123. PMID: 40228833 JAMA. 2025. PMID: 40228499 Lancet. 2025. PMID: 40245901 Nat Med. 2025. PMID: 40229553 PLoS Med. 2025; 22(4): e1004587. PMID: 40228477 Specialised CONSORT Harms: Junqueira DR, Zorzela L, Golder S, Loke Y, Gagnier JJ, Julious SA, Li T, Mayo-Wilson E, Pham B, Phillips R, Santaguida P, Scherer RW, Gøtzsche PC, Moher D, Ioannidis JPA, Vohra S; CONSORT Harms Group. CONSORT Harms 2022 statement, explanation, and elaboration: updated guideline for the reporting of harms in randomized trials. BMJ. 2023;381:e073725. PMID: 37094878 J Clin Epidemiol. 2023:S0895-4356(23)00090-2. PMID: 37100738 CONSORT Non-inferiority: Piaggio G, Elbourne DR, Pocock SJ, Evans SJW, Altman DG, for the CONSORT Group. Reporting of noninferiority and equivalence randomized trials. Extension of the CONSORT 2010 statement. JAMA. 2012; 308(24): 2594-2604. PMID: 23268518 CONSORT Cluster: Campbell MK, Piaggio G, Elbourne DR, Altman DG; CONSORT Group. Consort 2010 statement: extension to cluster randomised trials. BMJ. 2012;345:e5661. PMID: 22951546 CONSORT Herbal: Gagnier JJ, Boon H, Rochon P, Moher D, Barnes J, Bombardier C, for the CONSORT Group. Reporting randomized, controlled trials of herbal interventions: an elaborated CONSORT Statement. Ann Intern Med. 2006;144(5):364-367. PMID: 16520478 CONSORT Non-pharmacological treatment interventions: Boutron I, Altman DG, Moher D, Schulz KF, Ravaud P; CONSORT NPT Group. CONSORT Statement for Randomized Trials of Nonpharmacologic Treatments: A 2017 Update and a CONSORT Extension for Nonpharmacologic Trial Abstracts. Ann Intern Med. 2017;167(1):40-47. PMID: 28630973 CONSORT Abstracts: Hopewell S, Clarke M, Moher D, Wager E, Middleton P, Altman DG, Schulz KF, the CONSORT Group. CONSORT for reporting randomized controlled trials in journal and conference abstracts: explanation and elaboration. PLoS Med. 2008; 5(1):e20. PMID: 18215107 Hopewell S, Clarke M, Moher D, Wager E, Middleton P, Altman DG, Schulz KF, the CONSORT Group. CONSORT for reporting randomised trials in journal and conference abstracts. Lancet. 2008;371(9609):281-3. PMID: 18221781 CONSORT Pragmatic Trials: Zwarenstein M, Treweek S, Gagnier JJ, Altman DG, Tunis S, Haynes B, Oxman AD, Moher D; CONSORT group; Pragmatic Trials in Healthcare (Practihc) group. Improving the reporting of pragmatic trials: an extension of the CONSORT statement. BMJ. 2008;337:a2390. PMID: 19001484 STRICTA Controlled trials of acupuncture: MacPherson H, Altman DG, Hammerschlag R, Youping L, Taixiang W, White A, Moher D; STRICTA Revision Group. Revised STandards for Reporting Interventions in Clinical Trials of Acupuncture (STRICTA): extending the CONSORT statement. PLoS Med. 2010;7(6):e1000261. PMID: 20543992 CONSORT PRO: Calvert M, Blazeby J, Altman DG, Revicki DA, Moher D, Brundage MD; CONSORT PRO Group. Reporting of patient-reported outcomes in randomized trials: the CONSORT PRO extension. JAMA. 2013;309(8):814-22. PMID: 23443445 CONSORT-CENT: Vohra S, Shamseer L, Sampson M, Bukutu C, Schmid CH, Tate R, Nikles J, Zucker DR, Kravitz R, Guyatt G, Altman DG, Moher D; CENT group. CONSORT extension for reporting N-of-1 trials (CENT) 2015 Statement.BMJ. 2015;350:h1738. PMID: 25976398 CONSORT for orthodontic trials: Pandis N, Fleming PS, Hopewell S, Altman DG. The CONSORT Statement: Application within and adaptations for orthodontic trials. Am J Orthod Dentofacial Orthop. 2015;147(6):663-679. PMID: 26038070 TIDieR: Hoffmann T, Glasziou P, Boutron I, Milne R, Perera R, Moher D, Altman D, Barbour V, Macdonald H, Johnston M, Lamb S, Dixon-Woods M, McCulloch P, Wyatt J, Chan A, Michie S. Better reporting of interventions: template for intervention description and replication (TIDieR) checklist and guide. BMJ. 2014;348:g1687. PMID: 24609605 Simulation Research: Cheng A, Kessler D, Mackinnon R, Chang TP, Nadkarni VM, Hunt EA, Duval-Arnould J, Lin Y, Cook DA, Pusic M, Hui J, Moher D, Egger M, Auerbach M; International Network for Simulation-based Pediatric Innovation, Research, and Education (INSPIRE) Reporting Guidelines Investigators. Reporting Guidelines for Health Care Simulation Research: Extensions to the CONSORT and STROBE Statements. Simul Healthc. 2016;11(4):238-248. PMID: 27465839 CONSORT for pilot and feasibility trials: Eldridge SM, Chan CL, Campbell MJ, Bond CM, Hopewell S, Thabane L, Lancaster GA; on behalf of the PAFS consensus group. CONSORT 2010 statement: extension to randomised pilot and feasibility trials. Pilot and Feasibility Stud. 2016;2:64. PMID: 27965879 CONSORT-CHM formulas: Cheng C-W, Wu T-X, Shang H-C, Li Y-P, Altman DG, Moher D, Bian Z-X; for the CONSORT-CHM Formulas 2017 Group. CONSORT Extension for Chinese Herbal Medicine Formulas 2017: Recommendations, Explanation, and Elaboration. 2017. Ann Intern Med. Link to full-text. CONSORT for within person randomised trials: Pandis N, Chung B, Scherer RW, Elbourne D, Altman DG. CONSORT 2010 statement: extension checklist for reporting within person randomised trials. BMJ. 2017;357:j2835. PMID: 28667088 CONSORT Equity: Welch VA, Norheim OF, Jull J, Cookson R, Sommerfelt H, Tugwell P; CONSORT-Equity and Boston Equity Symposium. CONSORT-Equity 2017 extension and elaboration for better reporting of health equity in randomised trials. BMJ. 2017;359:j5085. PMID: 29170161 CONSORT-SPI: Montgomery P, Grant S, Mayo-Wilson E, Macdonald G, Michie S, Hopewell S, Moher D; on behalf of the CONSORT-SPI Group. Reporting randomised trials of social and psychological interventions: the CONSORT-SPI 2018 Extension. Trials. 2018;19:407. PMID: 30060754 Stepped wedge cluster randomised trials: Hemming K, Taljaard M, McKenzie JE, Hooper R, Copas A, Thompson JA, Dixon-Woods M, Aldcroft A, Doussau A, Grayling M, Kristunas C, Goldstein CE, Campbell MK, Girling A, Eldridge S, Campbell MJ, Lilford RJ, Weijer C, Forbes AB, Grimshaw JM. Reporting of stepped wedge cluster randomised trials: extension of the CONSORT 2010 statement with explanation and elaboration. BMJ. 2018;363:k1614. PMID: 30413417 CONSORT for multi-arm parallel-group randomised trials: Juszczak E, Altman DG, Hopewell S, Schulz K. Reporting of Multi-Arm Parallel-Group Randomized Trials: Extension of the CONSORT 2010 Statement. JAMA. 2019;321(16):1610-1620. PMID: 31012939 CONSORT 2010 extension to randomised crossover trials: Dwan K, Li T, Altman DG, Elbourne D. CONSORT 2010 statement: extension to randomised crossover trials. BMJ. 2019;366:l4378. PMID: 31366597 CENT for TCM: Li J, Hu JY, Zhai JB, Niu JQ, Kwong JSW, Ge L, Li B, Wang Q, Wang XQ, Wei D, Tian JH, Ma B, Yang KH, Dai M, Tian GH, Shang HC; CENT for TCM Working Group. CONSORT extension for reporting N-of-1 trials for traditional Chinese medicine (CENT for TCM): Recommendations, explanation and elaboration. Complement Ther Med. 2019;46:180-188. PMID: 31519276 STRICTOC: Zhang X, Tian R, Lam WC, Duan Y, Liu F, Zhao C, Wu T, Shang H, Tang X, Lyu A, Bian Z. Standards for reporting interventions in clinical trials of cupping (STRICTOC): extending the CONSORT statement. Chin Med. 2020;15:10. PMID: 32021646 ACE Statement: Dimairo M, Pallmann P, Wason J, Todd S, Jaki T, Julious SA, Mander AP, Weir CJ, Koenig F, Walton MK, Nicholl JP, Coates E, Biggs K, Hamasaki T, Proschan MA, Scott JA, Ando Y, Hind D, Altman DG; ACE Consensus Group. The adaptive designs CONSORT extension (ACE) statement: a checklist with explanation and elaboration guideline for reporting randomised trials that use an adaptive design. BMJ. 2020;369:m115. PMID: 32554564 Trials. 2020;21(1):528. PMID: 32546273 CONSORT-AI: Liu X, Rivera SC, Moher D, Calvert MJ, Denniston AK; on behalf of the SPIRIT-AI and CONSORT-AI Working Group. Reporting guidelines for clinical trial reports for interventions involving artificial intelligence: the CONSORT-AI Extension. BMJ 2020;370:m3164. PMID: 32909959 Nat Med. 2020:26(9):1364–1374. PMID: 32908283 Lancet Digital Health. 2020;2(10):e537-e548. PMID: 33328048 CONSORT-ROUTINE: Kwakkenbos L, Imran M, McCall SJ, McCord KA, Fröbert O, Hemkens LG, Zwarenstein M, Relton C, Rice DB, Langan SM, Benchimol EI, Thabane L, Campbell MK, Sampson M, Erlinge D, Verkooijen HM, Moher D, Boutron I, Ravaud P, Nicholl J, Uher R, Sauvé M, Fletcher J, Torgerson D, Gale C, Juszczak E, Thombs BD. CONSORT extension for the reporting of randomised controlled trials conducted using cohorts and routinely collected data (CONSORT-ROUTINE): checklist with explanation and elaboration. BMJ. 2021;373:n857. PMID: 33926904 CONSORT-Outcomes: Butcher NJ, Monsour A, Mew EJ, Chan AW, Moher D, Mayo-Wilson E, Terwee CB, Chee-A-Tow A, Baba A, Gavin F, Grimshaw JM, Kelly LE, Saeed L, Thabane L, Askie L, Smith M, Farid-Kapadia M, Williamson PR, Szatmari P, Tugwell P, Golub RM, Monga S, Vohra S, Marlin S, Ungar WJ, Offringa M. Guidelines for Reporting Outcomes in Trial Reports: The CONSORT-Outcomes 2022 Extension. JAMA. 2022;328(22):2252-2264. PMID: 36511921 CONSORT-DEFINE: Yap C, Solovyeva O, de Bono J, Rekowski J, Patel D, Jaki T, Mander A, Evans TRJ, Peck R, Hayward KS, Hopewell S, Ursino M, Rantell KR, Calvert M, Lee S, Kightley A, Ashby D, Chan AW, Garrett-Mayer E, Isaacs JD, Golub R, Kholmanskikh O, Richards D, Boix O, Matcham J, Seymour L, Ivy SP, Marshall LV, Hommais A, Liu R, Tanaka Y, Berlin J, Espinasse A, Dimairo M, Weir CJ. Enhancing reporting quality and impact of early phase dose-finding clinical trials: CONSORT Dose-finding Extension (CONSORT-DEFINE) guidance. BMJ. 2023;383:e076387. PMID: 37863501 CONSORT-Surrogate: Manyara AM, Davies P, Stewart D, Weir CJ, Young AE, Blazeby J, Butcher NJ, Bujkiewicz S, Chan AW, Dawoud D, Offringa M, Ouwens M, Hróbjartssson A, Amstutz A, Bertolaccini L, Bruno VD, Devane D, Faria CDCM, Gilbert PB, Harris R, Lassere M, Marinelli L, Markham S, Powers JH 3rd, Rezaei Y, Richert L, Schwendicke F, Tereshchenko LG, Thoma A, Turan A, Worrall A, Christensen R, Collins GS, Ross JS, Taylor RS, Ciani O. Reporting of surrogate endpoints in randomised controlled trial reports (CONSORT-Surrogate): extension checklist with explanation and elaboration. BMJ. 2024;386:e078524. PMID: 38981645 CONSORT-iNeurostim: Duarte RV, Bresnahan R, Copley S, Eldabe S, Thomson S, North RB, Baranidharan G, Levy RM, Collins GS, Taylor RS. Reporting guidelines for randomised controlled trial reports of implantable neurostimulation devices: the CONSORT-iNeurostim extension. EClinicalMedicine. 2024;78:102932. PMID: 39606687 CONSORT CRXO: McKenzie JE, Taljaard M, Hemming K, Arnup SJ, Giraudeau B, Eldridge S, Hooper R, Kahan BC, Li T, Moher D, Turner EL, Grimshaw JM, Forbes AB. Reporting of cluster randomised crossover trials: extension of the CONSORT 2010 statement with explanation and elaboration. BMJ. 2025;388:e080472. PMID: 39761979",,"Read the protocol for the development of this guideline (PDF). Read about the methods used to develop this guideline: Hall SS, Juszczak E, Birchenall M, Elbourne D, Beller E, Chan AW, Little P, Montgomery AA, Kahan BC. Mixed-methods study to develop extensions to the SPIRIT and CONSORT statements for factorial randomised trials: the Reporting Factorial Trials (RAFT) study. BMJ Open. 2025;15(2):e082917. PMID: 39961717",The CONSORT checklist of information to include when reporting factorial randomised trials is located in Table 2. The checklist of items to include when reporting a randomised factorial trial in a journal or conference abstract is located in Table 3.,,,,,"May 30, 2025",Read the protocol for the development of this guideline (PDF)|https://www.equator-network.org/wp-content/uploads/2021/12/RAFT-Study_Protocol_Final-version-1.1_27-Sept-2021_OSF.pdf,1
Modeling Infectious Diseases in Healthcare Network (MInD-Healthcare) Framework for Describing and Reporting Multidrug-resistant Organism and Healthcare -Associated Infections Agent-based Modeling Methods,https://www.equator-network.org/reporting-guidelines/modeling-infectious-diseases-in-healthcare-network-mind-healthcare-framework-for-describing-and-reporting-multidrug-resistant-organism-and-healthcare-associated-infections-agent-based-modeling-metho/,,Observational studies,"Infectious diseases, Public health",English,Reporting Multidrug Resistant Organism (MDRO) and Healthcare-Associated Infections (HAIs) transmission modeling studies.,Statistical methods and analyses,"Slayton RB, O'Hagan JJ, Barnes S, Rhea S, Hilscher R, Rubin M, Lofgren E, Singh B, Segre A, Paul P. Modeling Infectious Diseases in Healthcare Network (MInD-Healthcare) Framework for Describing and Reporting Multidrug-resistant Organism and Healthcare-Associated Infections Agent-based Modeling Methods. Clin Infect Dis. 2020;71(9):2527-2532.",32155235,,,,,,,,,,,,,,,"November 10, 2023",,0
Consensus Statement for Protocols of Factorial Randomized Trials: Extension of the SPIRIT 2013 Statement,https://www.equator-network.org/reporting-guidelines/consensus-statement-for-protocols-of-factorial-randomized-trials-extension-of-the-spirit-2013-statement/,SPIRIT Factorial,Study protocols,,English,Reporting of factorial trial protocols.,Protocol-whole report,"Kahan BC, Hall SS, Beller EM, Birchenall M, Elbourne D, Juszczak E, Little P, Fletcher J, Golub RM, Goulao B, Hopewell S, Islam N, Zwarenstein M, Chan AW, Montgomery AA. Consensus Statement for Protocols of Factorial Randomized Trials: Extension of the SPIRIT 2013 Statement. JAMA Netw Open. 2023;6(12):e2346121.",38051535,,,,,"Kahan BC, Juszczak E, Beller E, Birchenall M, Chan AW, Hall S, Little P, Fletcher J, Golub RM, Goulao B, Hopewell S, Islam N, Zwarenstein M, Elbourne D, Montgomery A. Guidance for protocol content and reporting of factorial randomised trials: explanation and elaboration of the CONSORT 2010 and SPIRIT 2013 extensions. BMJ. 2025;388:e080785. PMID: 39904527",,"Generic SPIRIT 2025 Statement: Chan AW, Boutron I, Hopewell S, Moher D, Schulz KF, Collins GS, Tunn R, Aggarwal R, Berkwits M, Berlin JA, Bhandari N, Butcher NJ, Campbell MK, Chidebe RCW, Elbourne DR, Farmer AJ, Fergusson DA, Golub RM, Goodman SN, Hoffmann TC, Ioannidis JPA, Kahan BC, Knowles RL, Lamb SE, Lewis S, Loder E, Offringa M, Ravaud P, Richards DP, Rockhold FW, Schriger DL, Siegfried NL, Staniszewska S, Taylor RS, Thabane L, Torgerson DJ, Vohra S, White IR, Hróbjartsson A. SPIRIT 20205 statement: updated guideline for protocols of randomized trials. BMJ. 2025; 388:e081660. PMID: 40294956 JAMA. 2025. PMID: 40294593 Lancet 2025. Nat Med. 2025. PMID: 40295741 PLoS Med. 2025; 22(4): e1004587. PMID: 40294521 Specialised SPIRIT-PRO: Calvert M, Kyte D, Mercieca-Bebber R, Slade A, Chan A-W, King MT; and the SPIRIT-PRO Group. Guidelines for Inclusion of Patient-Reported Outcomes in Clinical Trial Protocols: The SPIRIT-PRO Extension. JAMA. 2018;319(5):483-494. Link to abstract SPIRIT-TCM: Dai L, Cheng CW, Tian R, Zhong LL, Li YP, Lyu AP, Chan AW, Shang HC, Bian ZX. Standard Protocol Items for Clinical Trials with Traditional Chinese Medicine 2018: Recommendations, Explanation and Elaboration (SPIRIT-TCM Extension 2018). Chin J Integr Med. 2019;25(1):71-79. PMID: 30484022 SPENT 2019: Porcino AJ, Shamseer L, Chan A-W, Kravitz RL, Orkin A, Punja S, Ravaud P, Schmid CH, Vohra S; on behalf of the SPENT group. SPIRIT extension and elaboration for n-of-1 trials: SPENT 2019 checklist. BMJ 2020; 368. Link to full-text. SPIRIT-AI: Rivera SC, Liu X, Chan A-W, Denniston AK, Calvert MJ; on behalf of the SPIRIT-AI and CONSORT-AI Working Group. Guidelines for clinical trial protocols for interventions involving artificial intelligence: the SPIRIT-AI Extension. BMJ. 2020;370:m3210. PMID: 32907797 Nat Med. 2020;26(9):1351–1363. PMID: 32908284 Lancet Digital Health. 2020;2(10):e549-e560. PMID: 33328049 SPIRIT-Path: Kendall TJ, Robinson M, Brierley DJ, Lim SJ, O'Connor DJ, Shaaban AM, Lewis I, Chan AW, Harrison DJ; SPIRIT-Path group. Guidelines for cellular and molecular pathology content in clinical trial protocols: the SPIRIT-Path extension. Lancet Oncol. 2021;22(10):e435-e445. PMID: 34592193 SPIRIT-Outcomes: Butcher NJ, Monsour A, Mew EJ, Chan AW, Moher D, Mayo-Wilson E, Terwee CB, Chee-A-Tow A, Baba A, Gavin F, Grimshaw JM, Kelly LE, Saeed L, Thabane L, Askie L, Smith M, Farid-Kapadia M, Williamson PR, Szatmari P, Tugwell P, Golub RM, Monga S, Vohra S, Marlin S, Ungar WJ, Offringa M. Guidelines for Reporting Outcomes in Trial Protocols: The SPIRIT-Outcomes 2022 Extension. JAMA. 2022;328(23):2345-2356. PMID: 36512367 SPIRIT-DEFINE: Yap C, Rekowski J, Ursino M, Solovyeva O, Patel D, Dimairo M, Weir CJ, Chan AW, Jaki T, Mander A, Evans TRJ, Peck R, Hayward KS, Calvert M, Rantell KR, Lee S, Kightley A, Hopewell S, Ashby D, Garrett-Mayer E, Isaacs J, Golub R, Kholmanskikh O, Richards DP, Boix O, Matcham J, Seymour L, Ivy SP, Marshall LV, Hommais A, Liu R, Tanaka Y, Berlin J, Espinasse A, de Bono J. Enhancing quality and impact of early phase dose-finding clinical trial protocols: SPIRIT Dose-finding Extension (SPIRIT-DEFINE) guidance. BMJ. 2023;383:e076386. PMID: 37863491 SPIRIT-Surrogate: Manyara AM, Davies P, Stewart D, Weir CJ, Young AE, Blazeby J, Butcher NJ, Bujkiewicz S, Chan AW, Dawoud D, Offringa M, Ouwens M, Hróbjartssson A, Amstutz A, Bertolaccini L, Bruno VD, Devane D, Faria CDCM, Gilbert PB, Harris R, Lassere M, Marinelli L, Markham S, Powers JH 3rd, Rezaei Y, Richert L, Schwendicke F, Tereshchenko LG, Thoma A, Turan A, Worrall A, Christensen R, Collins GS, Ross JS, Taylor RS, Ciani O. Reporting of surrogate endpoints in randomised controlled trial protocols (SPIRIT-Surrogate): extension checklist with explanation and elaboration. BMJ. 2024;386:e078525. PMID: 38981624 SPIRIT-iNeurostim: Bresnahan R, Copley S, Eldabe S, Thomson S, North RB, Baranidharan G, Levy RM, Collins GS, Taylor RS, Duarte RV. Reporting guidelines for protocols of randomised controlled trials of implantable neurostimulation devices: the SPIRIT-iNeurostim extension. EClinicalMedicine. 2024;78:102933. PMID: 39610902",,"Read the protocol for the development of this guideline (PDF). Read about the methods used to develop this guideline: Hall SS, Juszczak E, Birchenall M, Elbourne D, Beller E, Chan AW, Little P, Montgomery AA, Kahan BC. Mixed-methods study to develop extensions to the SPIRIT and CONSORT statements for factorial randomised trials: the Reporting Factorial Trials (RAFT) study. BMJ Open. 2025;15(2):e082917. PMID: 39961717",The checklist for reporting of factorial randomised trials: extension of the SPIRIT 2013 Statement is located in Table 3.,,,,,"May 30, 2025",Read the protocol for the development of this guideline (PDF)|https://www.equator-network.org/wp-content/uploads/2021/12/RAFT-Study_Protocol_Final-version-1.1_27-Sept-2021_OSF.pdf,1
LEVEL (Logical Explanations & Visualizations of Estimates in Linear mixed models): recommendations for reporting multilevel data and analyses,https://www.equator-network.org/reporting-guidelines/level-logical-explanations-visualizations-of-estimates-in-linear-mixed-models-recommendations-for-reporting-multilevel-data-and-analyses/,LEVEL,"Clinical trials, Experimental studies, Observational studies",,English,Reporting multilevel data and modelling analyses.,"Data, Statistical methods and analyses","Monsalves MJ, Bangdiwala AS, Thabane A, Bangdiwala SI. LEVEL (Logical Explanations & Visualizations of Estimates in Linear mixed models): recommendations for reporting multilevel data and analyses. BMC Med Res Methodol. 2020;20(1):3.",31906857,,,,,,,,,,,,,,,"November 2, 2023",,0
Preliminary guideline for reporting bibliometric reviews of the biomedical literature (BIBLIO) : a minimum requirements,https://www.equator-network.org/reporting-guidelines/preliminary-guideline-for-reporting-bibliometric-reviews-of-the-biomedical-literature-biblio-a-minimum-requirements/,BIBLIO,Systematic reviews/Meta-analyses/Reviews/HTA/Overviews,,English,Reporting of bibliometric reviews. BIBLIO Checklist (Word) BIBLIO Checklist (PDF),Whole report,"Montazeri A, Mohammadi S, M Hesari P, Ghaemi M, Riazi H, Sheikhi-Mobarakeh Z. Preliminary guideline for reporting bibliometric reviews of the biomedical literature (BIBLIO): a minimum requirements. Syst Rev. 2023;12(1):239.",38102710,,,,,,,,,,,,,,,"January 10, 2024",BIBLIO Checklist (Word)|https://www.equator-network.org/wp-content/uploads/2024/01/BIBLIO-Checklist.docx ; BIBLIO Checklist (PDF)|https://www.equator-network.org/wp-content/uploads/2024/01/BIBLIO-Checklist.pdf,2
